Date,Account,Category,Note,INR,Income/Expense
02/03/2025,online payment,Food,Brownie,50,Expense
02/03/2025,online payment,Other,To lended people,300,Expense
01/03/2025,online payment,Food,Dinner,78,Expense
01/03/2025,online payment,Transportation,Metro,30,Expense
01/03/2025,online payment,Food,Snacks,67,Expense
01/03/2025,online payment,Other,From vicky,100,Income
01/03/2025,online payment,Other,From dad,500,Income
28/02/2025,online payment,Food,Pizza,339.15,Expense
28/02/2025,online payment,Other,From kumara,200,Income
27/02/2025,online payment,Food,Lunch,243,Expense
26/02/2025,online payment,Food,Snack,25,Expense
26/02/2025,online payment,Other,From dad,1500,Income
26/02/2025,online payment,Other,To karthi,100,Expense
26/02/2025,online payment,Social Life,Pravesh,1700,Expense
26/02/2025,online payment,Food,Snacks,40,Expense
26/02/2025,online payment,Food,Tea lights,84,Expense
25/02/2025,online payment,Food,Tea lights,33,Expense
24/02/2025,online payment,Household,Toiletrires,303,Expense
24/02/2025,online payment,Food,Creamstone,289,Expense
24/02/2025,online payment,Food,Tamen,324.7,Expense
23/02/2025,online payment,Apparel,Hoodie for gobi,399,Expense
23/02/2025,online payment,Food,Eggs,83,Expense
23/02/2025,online payment,Apparel,Earphone,399,Expense
22/02/2025,online payment,Transportation,Auto to laxmi mills,120,Expense
21/02/2025,online payment,Transportation,It better be worth it,1300,Expense
21/02/2025,online payment,Transportation,Travel to koyambedu,138,Expense
21/02/2025,online payment,Household,Stuffs,336,Expense
21/02/2025,online payment,Transportation,Train cbe to chn,201.8,Expense
20/02/2025,online payment,Food,Lunch,200,Expense
19/02/2025,online payment,Food,Random stuff for drinks,111,Expense
19/02/2025,online payment,Food,Snacks,250,Expense
19/02/2025,online payment,Transportation,Bus ticket,1575,Expense
19/02/2025,online payment,Transportation,Took from sbi,200,Expense
19/02/2025,online payment,Food,Ramen with gobi,380,Expense
19/02/2025,online payment,Transportation,Metro,60,Expense
19/02/2025,online payment,Other,To auto anna,50,Expense
19/02/2025,online payment,Transportation,To egmore,270,Expense
18/02/2025,online payment,Food,Kfc dinner,348,Expense
17/02/2025,online payment,Food,Lunch,80,Expense
16/02/2025,online payment,Food,Side dishes,165,Expense
16/02/2025,online payment,Food,Kfc ,475,Expense
13/02/2025,online payment,Social Life,Games ,100,Expense
12/02/2025,online payment,Food,Dinner with aravind and buddies,491,Expense
12/02/2025,online payment,Household,Mirror,70,Expense
12/02/2025,online payment,Food,Lunch,80,Expense
12/02/2025,online payment,Other,From dad,10000,Income
11/02/2025,online payment,Food,Dinner with aravind,373,Expense
10/02/2025,online payment,Food,Kfc dinner,641,Expense
08/02/2025,online payment,Other,From dad,1000,Income
08/02/2025,online payment,Household,Bean bag,2099,Expense
07/02/2025,online payment,Transportation,Auto to Gobi's place,214,Expense
06/02/2025,online payment,Food,Cakepark,125,Expense
06/02/2025,online payment,Food,To kumara,150,Expense
06/02/2025,online payment,Transportation,To chennai,1000,Expense
06/02/2025,online payment,Other,Salary from dad,5000,Income
06/02/2025,online payment,Other,To gobi,1500,Expense
04/02/2025,online payment,Food,Shawarma,80,Expense
03/02/2025,online payment,Food,Good soup,50,Expense
03/02/2025,online payment,Other,To gowdham,150,Expense
02/02/2025,online payment,Food,Parotta,120,Expense
02/02/2025,online payment,Other,From dad,500,Income
31/01/2025,online payment,Transportation,Vnr to apk,50,Expense
31/01/2025,online payment,Other,To vicky,200,Expense
31/01/2025,online payment,Transportation,To ksr station,153,Expense
30/01/2025,online payment,Food,Dinner,155,Expense
30/01/2025,online payment,Food,Cycle gap ,120,Expense
30/01/2025,online payment,Food,Brunch,105,Expense
29/01/2025,online payment,Transportation,Rapido to pg,44,Expense
29/01/2025,online payment,Other,Sent to barath,100,Expense
28/01/2025,online payment,Food,Banana,10,Expense
28/01/2025,online payment,Food,Lunch with company,138,Expense
27/01/2025,online payment,Transportation,Rapido to pg,43,Expense
27/01/2025,online payment,Other,To vicky,300,Expense
27/01/2025,online payment,Other,To vishnu,100,Expense
27/01/2025,online payment,Food,Zinger box meal,279,Expense
27/01/2025,online payment,Other,From vicky,300,Income
27/01/2025,online payment,Other,From dad,1500,Income
26/01/2025,online payment,Food,Snacks,115,Expense
26/01/2025,online payment,Other,Vishnu 100 gowdham 25,125,Income
26/01/2025,online payment,Food,Paani poori,25,Expense
25/01/2025,online payment,Food,Kfc date with myself,259,Expense
25/01/2025,online payment,Food,Lemon tea,18,Expense
25/01/2025,online payment,Transportation,Train to vnr,325,Expense
24/01/2025,online payment,Food,Snack,40,Expense
24/01/2025,online payment,Food,Lunch with company,133,Expense
23/01/2025,online payment,Food,Pepsi,40,Expense
23/01/2025,online payment,Food,Dinner,465,Expense
23/01/2025,online payment,Food,Sent to vicky,300,Expense
23/01/2025,online payment,Food,Lunch,302,Expense
23/01/2025,online payment,Other,From vicky,310,Income
23/01/2025,online payment,Food,Snacks with preethi and azar,176,Expense
23/01/2025,online payment,Social Life,Badminton,200,Expense
23/01/2025,online payment,Other,From dad,2000,Income
21/01/2025,online payment,Food,Lunch with company,188,Expense
21/01/2025,online payment,Food,Snacks,37,Expense
21/01/2025,online payment,Other,From vicky,200,Income
19/01/2025,online payment,Food,Lunch + chocolate for preethi,171,Expense
18/01/2025,online payment,Food,Dinner,301.15,Expense
18/01/2025,online payment,Food,Snack with preethi,59,Expense
18/01/2025,online payment,Food,Lunch with company,148,Expense
18/01/2025,online payment,Other,To kumara,200,Expense
18/01/2025,online payment,Other,From dad,1000,Income
17/01/2025,online payment,Food,Eve snack,100,Expense
15/01/2025,online payment,Transportation,Bus to Bangalore,1365,Expense
15/01/2025,online payment,Other,From dad,1500,Income
15/01/2025,online payment,Food,Snacks,70,Expense
14/01/2025,online payment,Other,Kumara,170,Income
14/01/2025,online payment,Other,Siva + 100 cash,70,Income
14/01/2025,online payment,Other,Gundan + prasanna,340,Income
14/01/2025,online payment,Other,Dinesh and maddy + 100 cash,240,Income
14/01/2025,online payment,Other,From gowdham,340,Income
14/01/2025,online payment,Food,Lunch pongal,1530,Expense
13/01/2025,online payment,Food,Dinner,66,Expense
13/01/2025,online payment,Other,From dad,1000,Income
13/01/2025,online payment,Transportation,Rapido to pg,43,Expense
12/01/2025,online payment,Other,Recharge by gowdham,479,Expense
12/01/2025,online payment,Food,Pizza,301.75,Expense
12/01/2025,online payment,Other,From kumara,200,Income
11/01/2025,online payment,Food,Lunch with not preethi,135.5,Expense
10/01/2025,online payment,Food,Friday snacks with preethi gang,106,Expense
08/01/2025,online payment,Other,From gowdham,260,Income
08/01/2025,online payment,Food,Lunch with gowdham,535.3,Expense
08/01/2025,online payment,Household,Rent,4580,Expense
07/01/2025,online payment,Food,Coffee + biscuit,15,Expense
06/01/2025,online payment,Other,From barath and shakur,440,Income
06/01/2025,online payment,Food,Ketch up,20,Expense
06/01/2025,online payment,Food,Dinner with roommate,877.81,Expense
06/01/2025,online payment,Food,Bingo,10,Expense
06/01/2025,online payment,Transportation,Rapido to pg,42,Expense
05/01/2025,online payment,Food,McDonald's with company,211,Expense
05/01/2025,online payment,Other,Lended money returned to vishnu,40,Expense
05/01/2025,online payment,Other,Lended money returned to kumara,30,Expense
05/01/2025,online payment,Food,Jan 2nd with shakur and barath,354,Expense
05/01/2025,online payment,Other,To gobi 1st 1/4th,500,Expense
05/01/2025,online payment,Other,To abijith and to vicky lend money returned,500,Expense
05/01/2025,online payment,Transportation,Refund for bus ticket,60,Expense
05/01/2025,online payment,Food,Lunch with company,388,Expense
04/01/2025,online payment,Education,Arrear and reval fee,1400,Expense
04/01/2025,online payment,Salary,Salary,8000,Income
04/01/2025,online payment,Food,Lunch with company,106,Expense
04/01/2025,online payment,Other,To vicky,80,Expense
04/01/2025,online payment,Food,Sent to preethi,107,Expense
03/01/2025,online payment,Food,Dairy milk,10,Expense
03/01/2025,online payment,Other,From barath,201,Income
03/01/2025,online payment,Other,From gpay,5,Income
03/01/2025,online payment,Other,From shakur,140,Income
03/01/2025,online payment,Food,Lunch unlimited nv,300,Expense
03/01/2025,online payment,Other,From abi,300,Income
02/01/2025,online payment,Other,Tablet to gowdham,8,Expense
02/01/2025,online payment,Food,Dinner with barath,200,Expense
02/01/2025,online payment,Transportation,Train to vnr,725,Expense
01/01/2025,online payment,Food,Snacks,85,Expense
01/01/2025,online payment,Allowance,From dad,1000,Income
30/12/2024,online payment,Food,To barath,20,Expense
30/12/2024,online payment,Transportation,Pg to office,43,Expense
30/12/2024,online payment,Other,From kumara,30,Income
30/12/2024,online payment,Food,Horlicks + kolakattai,25,Expense
30/12/2024,online payment,Transportation,Bommasandra to pg,199,Expense
30/12/2024,online payment,Other,From Deepak,250,Income
30/12/2024,online payment,Food,Water,20,Expense
30/12/2024,online payment,Other,From abi,20,Income
30/12/2024,online payment,Transportation,Rapido + toll,286,Expense
30/12/2024,online payment,Other,From Deepak,250,Income
28/12/2024,online payment,Food,Coffee and thattai,14,Expense
27/12/2024,online payment,Food,Lunch with barath,115,Expense
27/12/2024,online payment,Other,From vicky,80,Income
27/12/2024,online payment,Other,From ganesan,40,Income
27/12/2024,online payment,Food,Coconut water with stu,50,Expense
25/12/2024,online payment,Food,Dinner with barath,504,Expense
25/12/2024,online payment,Transportation,Cab,306,Expense
25/12/2024,online payment,Self-development,Books,400,Expense
25/12/2024,online payment,Food,Corn,30,Expense
25/12/2024,online payment,Food,Water,30,Expense
25/12/2024,online payment,Food,Milk with bharath,40,Expense
24/12/2024,online payment,Social Life,Beer,150,Expense
24/12/2024,online payment,Food,Lunch with company,262,Expense
23/12/2024,online payment,Food,Lemon tea with company,15,Expense
23/12/2024,online payment,Food,Puffs and coffee,32,Expense
21/12/2024,online payment,Food,Dinner with barath,239,Expense
21/12/2024,online payment,Food,Puffs,25,Expense
21/12/2024,online payment,Food,Bun,18,Expense
20/12/2024,online payment,Food,Milk with bharath,80,Expense
20/12/2024,online payment,Transportation,Taxi,80,Expense
20/12/2024,online payment,Food,Snacks,20,Expense
20/12/2024,online payment,Food,Water,20,Expense
20/12/2024,online payment,Food,Lunch with barath,85,Expense
20/12/2024,online payment,Food,Milk with bharath,40,Expense
19/12/2024,online payment,Other,To siva,100,Expense
18/12/2024,online payment,Other,To kumara,100,Expense
18/12/2024,online payment,Other,To abijith,200,Expense
18/12/2024,online payment,Food,To rahul,113,Expense
18/12/2024,online payment,Allowance,From dad,1000,Income
18/12/2024,online payment,Other,Lended money,400,Income
18/12/2024,online payment,Social Life,Spiderman ,363.72,Expense
18/12/2024,online payment,Food,Lunch,160,Expense
17/12/2024,online payment,Food,Milk with bharath,70,Expense
17/12/2024,online payment,Food,Lunch with company,110,Expense
17/12/2024,online payment,Other,Gave to gowdham,50,Expense
16/12/2024,online payment,Food,Egg,30,Expense
16/12/2024,online payment,Food,Panipoori,20,Expense
16/12/2024,online payment,Food,Lunch,30,Expense
16/12/2024,online payment,Food,Milk with bharath,110,Expense
14/12/2024,online payment,Food,Lunch,40,Expense
14/12/2024,online payment,Food,Snacks,75,Expense
14/12/2024,online payment,Food,Panipoori,80,Expense
14/12/2024,online payment,Food,Snacks,74,Expense
14/12/2024,online payment,Food,Milk with bharath,65,Expense
12/12/2024,online payment,Food,Milk with bharath,25,Expense
11/12/2024,online payment,Allowance,From dad,1000,Income
11/12/2024,online payment,Other,From stu,240,Income
10/12/2024,online payment,Food,Shopping,241,Expense
10/12/2024,online payment,Food,Momos,195,Expense
09/12/2024,online payment,Food,Snack with bharath,40,Expense
09/12/2024,online payment,Food,Lunch with company,280,Expense
09/12/2024,online payment,Food,Milk with bharath,25,Expense
09/12/2024,online payment,Food,Breakfast with stu,110,Expense
08/12/2024,online payment,Food,Lunch with stu,100,Expense
08/12/2024,Cash,Food,Grand Hyatt,1120.72,Expense
08/12/2024,online payment,Food,Milk,10,Expense
07/12/2024,online payment,Food,Milk with bharath,25,Expense
07/12/2024,online payment,Food,Horlicks,15,Expense
06/12/2024,online payment,Food,Milk with bharath,25,Expense
06/12/2024,online payment,Apparel,Shoe,500,Expense
06/12/2024,online payment,Apparel,Cap,140,Expense
06/12/2024,online payment,Food,Lunch with stu,150,Expense
05/12/2024,online payment,Food,Milk with bharath,25,Expense
05/12/2024,online payment,Apparel,Full hand and a hoodie,1800,Expense
05/12/2024,online payment,Household,Rent,4800,Expense
05/12/2024,online payment,Allowance,From dad,8000,Income
04/12/2024,online payment,Food,Dinner,324,Expense
04/12/2024,online payment,Food,Snack,65,Expense
04/12/2024,online payment,Other,For company,30,Expense
04/12/2024,online payment,Food,Breakfast,200,Expense
03/12/2024,online payment,Food,Milk with bharath,25,Expense
03/12/2024,online payment,Apparel,Belt,130,Expense
03/12/2024,online payment,Apparel,Mask,20,Expense
03/12/2024,online payment,Food,Snack,40,Expense
03/12/2024,online payment,Allowance,From dad,1000,Income
02/12/2024,online payment,Food,Ice cream,504,Expense
02/12/2024,online payment,Food,Vadapaav,75,Expense
01/12/2024,online payment,Beauty,Showergel,196,Expense
01/12/2024,online payment,Food,Lunch with company,160,Expense
